ID,marital_status,application_mode,application_order,course,daytimeevening_attendancet,previous_qualification,previous_qualification_grade,nacionality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target
0,1,17,5,171,1,1,122,1,19,12,5,9,127,True,False,False,True,True,False,20,False,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Dropout
1,1,15,1,9254,1,1,160,1,1,3,3,3,142,True,False,False,False,True,False,19,False,0,6,6,6,14,0,0,6,6,6,13,0,13,0,0,Graduate
2,1,1,5,9070,1,1,122,1,37,37,9,9,124,True,False,False,False,True,False,19,False,0,6,0,0,0,0,0,6,0,0,0,0,10,1,1,Dropout
3,1,17,2,9773,1,1,122,1,38,37,5,3,119,True,False,False,True,False,False,20,False,0,6,8,6,13,0,0,6,10,5,12,0,9,0,-3,Graduate
4,2,39,1,8014,0,1,100,1,37,38,9,9,141,False,False,False,True,False,False,45,False,0,6,9,5,12,0,0,6,6,6,13,0,13,0,0,Graduate
5,2,39,1,9991,0,19,133,1,37,37,9,7,114,False,False,True,True,True,False,50,False,0,5,10,5,11,0,0,5,17,5,11,5,16,0,0,Graduate
6,1,1,1,9500,1,1,142,1,19,38,7,10,128,True,False,False,True,False,True,18,False,0,7,9,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
7,1,18,4,9254,1,1,119,1,37,37,9,9,113,True,False,False,False,True,False,22,False,0,5,5,0,0,0,0,5,5,0,0,0,15,2,-4,Dropout
8,1,1,3,9238,1,1,137,62,1,1,9,9,129,False,False,False,True,False,True,21,True,0,6,8,6,13,0,0,6,7,6,14,0,16,0,0,Graduate
9,1,1,1,9238,1,1,138,1,1,19,4,7,123,True,False,True,False,False,False,18,False,0,6,9,5,11,0,0,6,14,2,13,0,8,1,3,Dropout
10,1,1,1,9670,1,1,139,1,38,19,5,7,130,True,False,False,True,False,False,18,False,0,6,6,6,12,0,0,6,7,5,14,0,13,0,0,Graduate
