Marital status,Application mode,Application order,Course,Daytime/evening attendance\t,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,True,False,False,True,True,False,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,True,False,False,False,True,False,19,False,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,13.9,-0.3,0.79,Graduate
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,True,False,False,False,True,False,19,False,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,True,False,False,True,False,False,20,False,0.0,6.0,8.0,6.0,13.428571428571429,0.0,0.0,6.0,10.0,5.0,12.4,0.0,9.4,-0.8,-3.12,Graduate
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,False,False,False,True,False,False,45,False,0.0,6.0,9.0,5.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,13.0,0.0,13.9,-0.3,0.79,Graduate
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,False,False,True,True,True,False,50,False,0.0,5.0,10.0,5.0,11.857142857142858,0.0,0.0,5.0,17.0,5.0,11.5,5.0,16.2,0.3,-0.92,Graduate
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,True,False,False,True,False,True,18,False,0.0,7.0,9.0,7.0,13.3,0.0,0.0,8.0,8.0,8.0,14.345,0.0,15.5,2.8,-4.06,Graduate
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,True,False,False,False,True,False,22,False,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,False,False,False,True,False,True,21,True,0.0,6.0,8.0,6.0,13.875,0.0,0.0,6.0,7.0,6.0,14.142857142857142,0.0,16.2,0.3,-0.92,Graduate
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,True,False,True,False,False,False,18,False,0.0,6.0,9.0,5.0,11.4,0.0,0.0,6.0,14.0,2.0,13.5,0.0,8.9,1.4,3.51,Dropout
